ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,,,,,,,,,,
12,simple,9874-96,CANAPÉ,1,1,visible,"Le canapé est témoin de ces moments chaleureux qui rythment votre vie. Des souvenirs d'enfants qui chahutent, de soirées en famille ou entre amis, d’instants de détente si agréables… Nos canapés fixes ou convertibles et nos fauteuils vous offrent allure, design et confort, pour un salon des plus accueillants",Canapé confort de jardin,,,taxable,,1,325,236,0,0,6,11,11,11,1,,200,212,Mobilier de jardin,,,http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/canape-jardin.jpeg,,,,,,,,,0,,,,,,,,,,,,,,,,,,
13,simple,,Lampadire Amalfi,1,1,visible,"<div class=""split-pricing""><span class=""multipay-or""> payer en</span> <strong><span class=""divider"">3x</span> 66,33 D</strong> <span class=""multipay-end"">sans frais </span>dont 0,10D d'éco-participation</div>",Lampadaire d'extérieure sans fil - naturel H148,,,taxable,,1,,,0,0,,,,,1,,90,"120,5",Luminaire,,,http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/lampadaire.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,
14,simple,,Canapé de jardin pieds épingle métal,1,1,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Mobilier de jardin,,,"http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/canape.jpg, http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/c3.jpg, http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/c2.jpg",,,,,,,,,0,coleur,"noir, gris",1,0,,,,,,,,,,,,,,
15,simple,60-kab-1000p,BOULE  DE PLANTE,1,1,catalog,Pots en résine pour accueillir vos plantes,"<div class=""kEwVtd"">
\n<div class=""eYbsle""></div>
\n</div>
\n<div class=""ZUo4Ze"">
\n<div class=""WLaez"">LA GRANDE BOULE TERRACOTTA DE PLANTE JARDIN</div>
\n</div>",,,taxable,,1,60,,0,0,,,,,1,,"21,999",25,Jardinière,,,"http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/117931402_769790727102360_1905961680898936647_n.jpg, http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/118205380_769791917102241_3558178719308781226_n.jpg",,,,,,,,,0,coleur,"bleu, blanc sale",1,0,,,,,,,,,,,,,,
16,simple,9874-96m,Jardinière rectangulaire zinc noir mat à poser,1,0,catalog,,Coup de coeur pour cette jardinière rectangulaire en zinc de couleur noir mat que vous pourrez poser directement sur le sol de votre terrasse ou dans votre jardin pour délimiter vos espaces,,,taxable,,1,41,,notify,1,200,45,30,,1,,"34,81","39,9",Jardinière,,,http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/jar2.jpg,,,,,,,,,0,coleur,"noir, blanc",1,0,,,,,,,,,,,,,,
17,simple,9874QL,bola,1,0,catalog,,"<strong>Jardin responsable</strong>
\nUn aspect zinc vieilli, un design brut pour créer une décoration authentique, chargée d'histoire. C'est de cette façon que les cache-pots <strong>à réserve d'eau Bola </strong>ont été pensé à la fois esthétique, pratique et surtout éco-reponsable. Conçu à base de poudre de pierre naturelle et de matière synthetique, ils sont resistant aux <strong>UV et </strong>au<strong> Gel </strong>et <strong>100% recyclable</strong>. Ce produit est disponible en plusieurs tailles.",,,taxable,,1,85,,0,0,3.37,38,33,38,1,,,26,Jardinière,,,http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/bola.jpg,,,,,,,,,0,matére,"syramique, sylicone",1,0,couleur,"gris, blanc",1,0,,,,,,,,,,
18,simple,125GO-99-02,succulente,1,0,visible,,"<strong>Douce et ronde</strong>
\nUne petite <strong>plante </strong>est l'objet déco idéal pour finir parafitement la <strong>décoration </strong>de votre pièce. A placer dans toute les pièces de la maison, elle aura l'avantage de faire parfaitement illusion et de ne demander aucun entretien.",,,taxable,,1,45,,0,1,10.61,12,12,12,1,,,20,Jardinière,,,"http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/succulente.jpg, http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/succente.png",,,,,,,,,0,matére,Plastique et bois,1,0,,,,,,,,,,,,,,
19,simple,DF1077,Balancelle fauteuil suspendu en rotin naturel,1,0,visible,,"Balancelle à suspendre en rotin naturel tressé. Idéal au jardin pour profiter du soleil, détournez aussi ce fauteuil suspendu en intérieur pour créer un endroit cocooning et détente dans la chambre comme au salon. Livré avec un cable acier cette balancelle se fixe au plafond",,,taxable,,1,93,,notify,0,20.5,112,99,145,1,Poids maxi supporté : 110 kg,,"160,47",Jardin,,,"http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/PIANA.png, http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/PANIA.png",,,,,,,,,0,coleur,couleur naturel,1,0,,,,,,,,,,,,,,
20,simple,JD8045,Banquette de jardin en bambou naturel avec coussin écru en coton canvas Taman,1,0,visible,,"Cette banquette 2 places en bambou, de fabrication artisanale, plaît pour son naturel, son style exotique, et le graphisme de son dossier quadrillé. Dans un salon, sous la véranda mais aussi au jardin (à couvrir en cas d'intempérie, le bambou grise avec le temps), cette banquette très tendance saura crééer un espace cocooning et bien être dans votre intérieur / extérieur. La mode est au mobilier dedans / dehors n'ésitez donc pas à en faire un meuble mobile qui sera dans le salon l'hiver agrémenté de coussins en laine de mouton, et au jardin l'été",,,taxable,,1,47,,0,0,23.818071,80,182,90,1,,"256,99",299,Mobilier de jardin,,,"http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/banquete.jpg, http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/baqette.jpg, http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/baqete.jpg",,,,,,,,,0,cousin,lavable en machine à 30° Ce produit est vernis pour un usage en extérieur mais nous vous recommandons de le protéger et le mettre à l'abri hors saison. Tissus coussin non outdoor.,1,0,,,,,,,,,,,,,,
21,simple,NB40012,Bibliothèque étagère à poser en bambou naturel Taman,1,0,catalog,,Bibliothèque ou étagère à poser en bambou. La collection Taman de Casatera décline toute une série de mobilier en bambou naturel pour apporter LA touche tendance à votre intérieur. A la fois bohème et naturel on aime le bambou dans toutes les pièces de la maison. Cette grande bibliothèque offre 5 étagères modulables de rangement.,,,taxable,,1,87,,0,0,515540190,40,155,190,1,,110,"179,38",Mobilier de jardin,,,"http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/etagaire.jpg, http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/etagaire-1.jpg, http://localhost/projet1000/wordpress/wp-content/uploads/2021/11/etagaire2.jpg",,,,,,,,,0,poids max supporté,20 kg par étagère,1,0,,,,,,,,,,,,,,
